type,gid,geom_o,geom_err,ident,nom,etat,nbplaces,nbvelos,nbelec,nbclassiq,insee,cdate,mdate,longitude,latitude
VLS,128,0,,138,Barbey,CONNECTEE,9,10,8,2,,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.56455,44.8265599
VLS,129,0,,140,Charles Perrens,CONNECTEE,4,15,8,7,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.6006622,44.823079
VLS,130,0,,141,Medoquine,CONNECTEE,10,10,4,6,33522,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5999189,44.8188739
VLS,131,0,,142,Bourranville,CONNECTEE,17,3,2,1,33281,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.6292359,44.8394699
VLS,132,0,,143,Pins Francs,CONNECTEE,12,6,5,1,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.6233409,44.8580799
VLS,133,0,,144,Jean Moulin,CONNECTEE,18,1,0,1,33075,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5850099,44.8784939
VLS+,134,0,,145,Berges du Lac,CONNECTEE,9,8,8,0,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5705699,44.8790399
VLS+,135,0,,146,Palais des Congres,CONNECTEE,16,14,6,8,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5677812,44.8889238
VLS+,136,0,,147,Parc des Expositions,CONNECTEE,5,25,7,18,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5662245,44.8929694
VLS+,137,0,,148,Berges de Garonne,MAINTENANCE,14,0,0,0,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5414474,44.8859648
VLS+,138,0,,149,Lauriers,CONNECTEE,15,5,0,5,33249,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.51783,44.8788899
VLS+,139,0,,151,Dravemont,CONNECTEE,8,11,8,3,33167,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5105319,44.8456299
VLS,140,0,,152,Hopital Robert Picque,CONNECTEE,14,5,3,2,33550,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.569953,44.7996699
VLS+,141,0,,153,Parc Sourreil,CONNECTEE,13,7,4,3,33550,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5816959,44.7922999
VLS+,142,0,,154,Thouars,CONNECTEE,17,2,1,1,33522,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.591518,44.7920899
VLS+,143,0,,155,Village 6 IUT,CONNECTEE,12,12,4,8,33192,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.613107,44.7914849
VLS,144,0,,156,Hotel de Ville Merignac,CONNECTEE,12,7,3,4,33281,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.6589114,44.8443044
VLS+,145,0,,157,Les Pins,CONNECTEE,12,8,2,6,33281,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.659829,44.8568199
VLS+,146,0,,159,Camping International,CONNECTEE,16,8,3,5,33075,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5825109,44.8978459
VLS+,147,0,,162,Gare de Begles,CONNECTEE,12,8,3,5,33039,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.551517,44.7981949
VLS+,148,0,,163,Lycee Vaclav Havel,CONNECTEE,11,9,2,7,,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.565509,44.7856889
VLS+,149,0,,166,Centre commercial du Lac,CONNECTEE,8,12,8,4,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5652209,44.8819199
VLS,151,0,,170,Lucien Faure,CONNECTEE,5,15,9,6,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5608429,44.8661519
VLS,152,0,,171,Place Amedee Larrieu,CONNECTEE,10,9,5,4,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5814089,44.8299299
VLS,153,0,,172,La Cite du Vin,CONNECTEE,19,9,6,3,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5514989,44.8617799
VLS,154,0,,173,Rue Achard,CONNECTEE,0,20,15,5,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5480999,44.8674899
